INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8080
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug: * Restarting with watchdog (windowsapi)
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 389-734-814
INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8080
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug: * Restarting with watchdog (windowsapi)
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 389-734-814
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\_optimize.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\_minimize.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\_root.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\_root_scalar.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\_minpack_py.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\_zeros_py.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\optimize\\_nonlin.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\special\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\special\\_basic.py', reloading
INFO:werkzeug: * Restarting with watchdog (windowsapi)
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 389-734-814
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\stats\\distributions.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\stats\\_continuous_distns.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\stats\\_discrete_distns.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\stats\\_morestats.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\stats\\_binned_statistic.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\stats\\_multivariate.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\stats\\_entropy.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\stats\\_hypotests.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\__init__.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_interpolate.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_fitpack_py.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_fitpack2.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_rbfinterp.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_polyint.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_cubic.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_ndgriddata.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_bsplines.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_pade.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\interpolate\\_rgi.py', reloading
INFO:werkzeug: * Detected change in 'C:\\Users\\hugod\\anaconda3\\Lib\\site-packages\\scipy\\linalg\\__init__.py', reloading
